id,name,x,y
"ahyeon","Ahyeon","28.726837158203125","-5.500052452087402"
"city-hall","City 					Hall","16.25078558921814","5.299947738647461"
"seryu","Seryu","21.250202178955078","-5.500052452087402"
"sema","Sema","20.500194549560547","-5.500052452087402"
"osan","Osan","18.953306198120117","-5.500052452087402"
"jinwi","Jinwi","19.25018310546875","-5.500052452087402"
"jiksan","Jiksan","22.937719345092773","-5.500052452087402"
"asan","Asan","18.242361068725586","-5.500052452087402"
"suwon","Suwon","25.476804733276367","-5.500052452087402"
"gosaek","Gosaek","27.273696899414062","-5.500052452087402"
"yamok","Yamok","25.578369140625","-5.500052452087402"
"sari","Sari","13.93763256072998","-5.500052452087402"
"sanggal","Sanggal","29.086214065551758","-5.500052452087402"
"jiseok","Jiseok","23.172096252441406","-5.500052452087402"
"samga","Samga","24.80492401123047","-5.500052452087402"
"gojin","Gojin","19.406435012817383","-5.500052452087402"
"singal","Singal","22.242399215698242","-5.500052452087402"
"guro","Guro","18.38298797607422","-5.500052452087402"
"onsu","Onsu","19.476747512817383","-5.500052452087402"
"seoul-station","Seoul 				Station","16.288029670715332","5.299947738647461"
"uiwang","Uiwang","27.953392028808594","-5.500052452087402"
"gunpo","Gunpo","24.9924259185791","-5.500052452087402"
"anyang","Anyang","28.219018936157227","-5.500052452087402"
"seoksu","Seoksu","26.640878677368164","-5.500052452087402"
"guil","Guil","14.547013282775879","-5.500052452087402"
"sosa","Sosa","17.320478439331055","-5.500052452087402"
"bugae","Bugae","23.33616065979004","-5.500052452087402"
"dongsu","Dongsu","28.523710250854492","-5.500052452087402"
"baegun","Baegun","28.156518936157227","-5.500052452087402"
"galsan","Galsan","24.78148651123047","-5.500052452087402"
"jakjeon","Jakjeon","28.42995834350586","-5.500052452087402"
"imhak","Imhak","22.922094345092773","-5.500052452087402"
"gyesan","Gyesan","27.328386306762695","-5.500052452087402"
"dowon","Dowon","26.828380584716797","-5.500052452087402"
"juan","Juan","17.632980346679688","-5.500052452087402"
"dohwa","Dohwa","26.1330623626709","-5.500052452087402"
"doksan","Doksan","27.75026512145996","-5.500052452087402"
"ara","Ara","12.703246116638184","-5.500052452087402"
"unseo","Unseo","23.734601974487305","-5.500052452087402"
"incheon-intl-airport-cargo-terminal","Incheon Int'l 				Airport Cargo Terminal","4.5995330810546875","5.299947738647461"
"incheon-intl-airport-terminal-1","Incheon Int'l  				Airport Terminal 1","25.142349243164062","5.299947738647461"
"incheon-intl-airport-terminal-2","Incheon Int'l  				Airport Terminal 2","25.142349243164062","5.299947738647461"
"gayang","Gayang","27.89870262145996","-5.500052452087402"
"magok","Magok","25.0158634185791","-5.500052452087402"
"nodeul","Nodeul","27.00806999206543","-5.500052452087402"
"eonju","Eonju","21.38301658630371","-5.500052452087402"
"balsan","Balsan","24.359607696533203","-5.500052452087402"
"mullae","Mullae","24.75804901123047","-5.500052452087402"
"sillim","Sillim","19.92987823486328","-5.500052452087402"
"sadang","Sadang","27.304948806762695","-5.500052452087402"
"seocho","Seocho","27.508075714111328","-5.500052452087402"
"sangdo","Sangdo","27.85964012145996","-5.500052452087402"
"isu","Isu","10.836040496826172","-5.500052452087402"
"express-bus-terminal","Express 				Bus Terminal","8.44281005859375","5.30000114440918"
"seoul-natl-univ","Seoul  				Nat'l Univ.","3.0908470153808594","5.299947738647461"
"daerim","Daerim","26.96900749206543","-5.500052452087402"
"singil","Singil","20.03925323486328","-5.500052452087402"
"ichon","Ichon","20.828323364257812","-5.500052452087402"
"yaksu","Yaksu","22.04708480834961","-5.500052452087402"
"oksu","Oksu","18.953306198120117","-5.500052452087402"
"sinsa","Sinsa","19.382997512817383","-5.500052452087402"
"anguk","Anguk","23.883039474487305","-5.500052452087402"
"hongje","Hongje","27.336198806762695","-5.500052452087402"
"gusan","Gusan","23.265846252441406","-5.500052452087402"
"saejeol","Saejeol","26.664316177368164","-5.500052452087402"
"susaek","Susaek","26.078372955322266","-5.500052452087402"
"gajwa","Gajwa","22.640840530395508","-5.500052452087402"
"goksan","Goksan","27.601825714111328","-5.500052452087402"
"ilsan","Ilsan","17.172039031982422","-5.500052452087402"
"jichuk","Jichuk","23.781476974487305","-5.500052452087402"
"juyeop","Juyeop","27.109634399414062","-5.500052452087402"
"yadang","Yadang","27.77370262145996","-5.500052452087402"
"paju","Paju","15.937651634216309","-5.500052452087402"
"madu","Madu","21.078325271606445","-5.500052452087402"
"daegok","Daegok","28.250268936157227","-5.500052452087402"
